Timestamp,"¿De dónde venís? (ciudad, provincia)",¿Cuántos kilómetros hiciste para llegar?,¿En qué llegaste?,¿Cuántas veces te bañaste?,¿A cuántos PyCamp fuiste? (contando el actual)?,¿En cuántos proyectos participaste en este PyCamp?,¿Programaste Python durante el PyCamp?,¿Escuchaste ronquidos?,¿Viniste acompañado?,¿Pensás asistir a otro PyCamp?,¿Participaste de alguna actividad extra?,¿Jugaste algún juego?,Mencioná cosas de las que más te gustaron,¿Qué nota le pondrías a la comida?,¿Qué nota le pondrías a los dormitorios?,¿Qué nota le pondrías a Internet?,¿Qué nota le pondrías al lugar?,¿Volverías a un PyCamp en este mismo lugar?,¿Dónde te gustaría que se haga un PyCamp?,Tu edad,¿Cuál es tu signo del zodíaco?,¿Qué animal del horóscopo chino sos?,¿Cómo describirías tu nivel de manejo de Python?,¿Usas Python en tu profesión?,¿Tenés preferencias o limitaciones alimentarias?,Género autopercibido,¿Tenés hijes?,¿Querés dejar algún otro feedback?
3/25/2023 20:39:06,Caba ,,Avión,9,4,3,Si,Si,No,Sí,No,Sí,"La gente, comunidad",9,5,5,7,Sí,En el sur lejos del calor,33,Piscis,caballo,,Mucho,No,Varón Cis,0,
3/25/2023 20:39:07,"Santa Fe, Rafaela",700,Auto (de otro PyCampista),5,2,1,Si,No,Si,Sí,No,Sí,jugar codear gente,9,8,5,10,Sí,Tierra del fuego,15,Leo,cerdo,zafable ,Nada,No,Varón Cis,0,nop je
3/25/2023 20:40:45,"vicente lopez, buenos aires",900,Auto (de otro PyCampista),4,2,2,Si,No,No,Tal vez,No,Sí,,8,6,4,10,Sí,,32,,,intermedio,Mucho,Sí,Mujer Cis,0,los baños necesitan mejorar
3/25/2023 20:40:45,"Jesús María, Córdoba",900,Ómnibus,3,5,2,Si,Si,No,Sí,Sí,Sí,"comunidad, buena onda, python, pyar",9,6,6,8,Sí,Salta,40,Leo,perro,super sayayin,Mucho,No,Varón Cis,2,PyAr es amor. El PyCamp es la mejor actividad del mundo mundial.
3/25/2023 20:41:37,"Rafaela, Santa Fe ",626,Auto propio (con otros PyCampistas),5,12,2,Si,Si,Si,Sí,No,Sí,"gente, buena onda, amigos, programar",9,9,5,7,Tal vez,"en el sur, en un lugar frío",35,Cáncer,conejo,avanzado,Mucho,Sí,Varón Cis,0,-
3/25/2023 20:42:00,"Buenos Aires, CABA",905,Auto (de otro PyCampista),5,1,1,No,Si,Si,Tal vez,Sí,Sí,"comunidad, federalismo",8,7,1,7,Tal vez,,25,Sagitario,buey,medio,Algo,No,Varón Cis,0,
3/25/2023 20:43:15,"Barracas, Ciudad Autónoma de Buenos Aires",870,Ómnibus,2,3,1,Si,Si,No,Sí,No,Sí,Juegos amigos,8,8,5,8,Sí,Salta,48,,,Pulenta,Mucho,Sí,Varón Cis,2,En serio Zodiaco? No en mi nombre
3/25/2023 20:43:48,"Resistencia, Chaco",35,Ómnibus,3,,10,Si,No,Si,Sí,Sí,Sí,"juegos de mesa, pileta, lugar",10,9,5,9,Sí,Neuquén,49,Tauro,buey,Bueno,Mucho,No,Mujer Cis,2,"Felipe tiene razón, tiene que ser más largo. "
3/25/2023 20:49:32,Ciudad de Buenos Aires ,897,Avión,1,11,3,Si,No,No,Sí,No,Sí,"Amigues, comunidad, predisposición, comida, relajación ",9,5,2,8,Sí,Baradero ,37,Sagitario,buey,Excelente ,Mucho,No,Varón Cis,1,Gracias 
3/25/2023 20:51:21,Berazategui,,Avión,2,2,1,Si,No,No,Tal vez,Sí,Sí,,6,4,6,8,Tal vez,,22,Acuario,,Medio/bajo,Algo,No,Varón Cis,0,Los quiero <3
3/25/2023 20:53:14,CABA ,905,Ómnibus,3,1,1,Si,No,Si,Tal vez,Sí,Sí,"Juegos de mesa, python, comida, conocer gente, hablar mucho, pileta",8,7,1,9,No,,26,Aries,rata,Básico ,Poco,Sí,Mujer Cis,0,"El desayuno es solo dulce, quisiera un poco de salado también, cómo huevito revuelto o queso en fetas y frutas para que no sea solo harinas"
3/25/2023 20:57:36,Ciudad autonoma de buenos aires,900,Auto (de otro PyCampista),3,1,2,Si,No,Si,Sí,Sí,Sí,Gente aprender,9,7,3,7,Sí,,25,Capricornio,buey,Casi nulo,Nada,Sí,Varón Cis,0,Gracias!
3/25/2023 20:57:45,CABA,,Auto propio (con otros PyCampistas),3,1,3,Si,No,No,Sí,Sí,Sí,,10,9,7,10,Sí,Las Grutas,33,Aries,serpiente,Medio,Mucho,No,Varón Cis,0,
3/25/2023 20:58:46,"La Plata, Buenos Aires",1000,Avión,4,1,3,No,No,Si,Sí,Sí,Sí,,7,7,4,8,Tal vez,En el sur argentino ,27,Virgo,cerdo,Polémico,Algo,No,Varón Cis,0,
3/25/2023 20:59:08,Córdoba capital,890,Ómnibus,4,1,2,Si,No,Si,Sí,No,Sí,"Compañerismo, aprendizaje, buena onda",10,7,3,8,Sí,Aquí en corrientes/Córdoba ,29,Capricornio,,Básico,Nada,No,Varón Cis,0,Tremendo el PyCamp!
3/25/2023 20:59:12,"La Plata, Buenos Aires ",1000,Avión,2,4,2,Si,No,No,No,Sí,Sí,"Pileta, debate",8,8,5,9,Sí,"Córdoba, Santa fe ",31,Piscis,mono,Me defiendo,Algo,No,Mujer Cis,0,Les amo <3
3/25/2023 21:00:07,"Castelli, buenos aires",1100,Avión,2,11,2,Si,Si,No,Sí,Sí,Sí,"hablar, conocer personas",8,3,2,6,Tal vez,Salta,63,,,Alto,Mucho,No,Varón Cis,0,Comprar fruta
3/25/2023 21:03:22,Rosario,760,Ómnibus,2,9,0,Si,No,No,Sí,Sí,Sí,Que llovió ,8,6,6,7,Sí,San Luis ,33,Tauro,caballo,Intermedialto,Mucho,No,Varón Cis,0,
3/25/2023 21:04:09,La Plata,1000,Avión,3,3,2,No,No,Si,Sí,No,Sí,Debate peer programming pileta juegos,8,6,5,10,Sí,Bariloche,27,Aries,cerdo,Medio me defiendo,Mucho,No,Mujer Cis,0,
3/25/2023 21:08:01,"Florida Oeste, Vicente López, Buenos Aires ",860,Auto propio (con otros PyCampistas),3,15,7,Si,No,Si,Sí,Sí,Sí,"Pileta, comunidad ",9,7,5,8,Sí,El sur ,47,Tauro,conejo,Alto ,Mucho,No,Varón Cis,2,Vamos les pibes ! 
3/25/2023 21:08:56,"Barracas, Buenos Aires",900,Avión,3,2,3,Si,Si,No,Sí,Sí,Sí,"Comunidad, coding, experiencia ",8,8,3,9,Sí,Buenos Aires,38,Virgo,rata,Intermedio,Mucho,No,Varón Cis,2,Más PyCamps!!
3/25/2023 21:11:30,Buenos Aires,900,Ómnibus,3,1,1,Si,Si,Si,Sí,No,No,La comunidad y el aprender cosas nuevas,9,5,3,8,Tal vez,Jujuy ,14,Géminis,,Más menos que mas,Nada,No,Mujer Cis,0,
3/25/2023 21:19:23,Capital federal bs as,900,Auto (de otro PyCampista),4,1,1,Si,Si,Si,Sí,Sí,Sí,"Juegos de mesa, gente copada,",6,6,1,7,No,,19,Géminis,cabra,Muy basico,Nada,No,Mujer Cis,0,"El internet muy malo, y el baño fue un tema por el agua caliente y los cortes de luz"
3/25/2023 21:29:34,"Las Perdices, Córdoba",942,Ómnibus,4,2,1,Si,Si,No,Sí,Sí,Sí,"Fernet, cerveza, chipá, pileta, espacio verde",8,9,8,8,Sí,Sur de Argentina,28,Virgo,perro,Normal,Mucho,No,Varón Cis,0,Gracias :) 
3/25/2023 21:31:58,Lanus,900,Auto (de otro PyCampista),4,1,2,Si,Si,Si,Sí,Sí,Sí,"Catering, gente, chipa, juegos de mesa, dinamica del evento.",10,10,4,10,Sí,Cerca de Amba,16,Escorpión,perro,Poco mas que basico,Nada,No,Varón Cis,0,
3/25/2023 21:34:02,caba,900,Auto (de otro PyCampista),5,2,1,Si,Si,Si,Sí,Sí,No,pileta jardin,10,9,4,10,Sí,cordoba,47,Géminis,conejo,zafaroni,Poco,No,Varón Cis,2,la pileta garpa
3/25/2023 21:34:33,"San Isidro, Buenos Aires ",918,Ómnibus,3,5,2,Si,No,Si,Sí,No,No,Las personas,9,10,5,10,Sí,Córdoba ,53,Géminis,gallo,Básico ,Poco,Sí,Mujer Cis,0,Muy bueno 
3/25/2023 21:39:03,"Vicente López,BsAs",860,Auto (de otro PyCampista),2,2,1,Si,No,Si,Sí,No,Sí,Juegos mesas,9,8,6,8,Sí,En algún lugar con frío ,13,Libra,,Principiante entusiasta ,Nada,Sí,Varón Cis,0,Estás suponiendo que tengo trabajo y que soy adulto 
3/25/2023 21:41:05,Gualeguay,700,Ómnibus,4,2,3,Si,No,Si,Sí,No,No,"Friendly, informal, comodidad, comunidad, motivación ",9,7,1,9,Sí,En cualquier lugar que permita aglutinarnos,24,Virgo,tigre,Intermedio,Mucho,Sí,Varón Cis,0,
