Timestamp,¿De dónde venís? (por lo menos ciudad + provincia),¿Cuántos kilómetros hiciste para llegar?,¿En qué llegaste?,¿Cuántas veces te bañaste?,¿A cuántos PyCamp fuiste? (contando el actual)?,¿En cuántos proyectos participaste en este PyCamp?,¿Programaste Python durante el PyCamp?,¿Escuchaste ronquidos?,¿Viniste acompañado?,¿Pensás asistir a otro PyCamp?,¿Participaste de alguna actividad extra?,¿Jugaste algún juego?,Mencioná cosas de las que más te gustaron,¿Qué nota le pondrías a la comida?,¿Qué nota le pondrías a los dormitorios?,¿Qué nota le pondrías a Internet?,¿Qué nota le pondrías al lugar?,¿Volverías a un PyCamp en este mismo lugar?,¿Dónde te gustaría que se haga un PyCamp?,Tu edad,¿Cuál es tu signo del zodíaco?,¿Qué animal del horóscopo chino sos?,¿Cómo describirías tu nivel de manejo de Python?,¿Usas Python en tu profesión?,¿Tenés preferencias o limitaciones alimentarias?,Género autopercibido,¿Tenés hijes?,¿Querés dejar algún otro feedback?
3/23/2026 21:26:17,Caba,1614,Auto propio (con otros PyCampistas),3,5,1,Si,No,Si,Sí,Sí,Sí,Show and tell,9,8,6,10,Sí,,30,Cáncer,cerdo,Mediocre,Algo,No,Varón Cis,0,
3/23/2026 21:27:56,"Lanús, Buenos Aires",1200,Avión,4,5,3,Si,No,No,Sí,Sí,Sí,Compartir actualizarme jugar,5,8,1,9,No,La costa atlántica,46,Géminis,cabra,Experimentado vitalicio,Mucho,Sí,Varón Cis,0,
3/23/2026 21:29:02,Monte Grande ,1200,Avión,4,5,3,Si,Si,No,Sí,Sí,Sí,Vista montaña pool,5,7,1,7,Sí,Buenos Aires,41,Virgo,rata,Aceptable,Mucho,No,Varón Cis,2,Plan por si se corta la luz
3/23/2026 21:29:48,caba,1300,Avión,2,3,0,No,Si,No,Sí,Sí,No,aprendizaje,8,7,1,9,Sí,un poco mas cerca de la zona núcleo,51,Libra,tigre,junior,Algo,No,Varón Cis,2,Viva el pycamp
3/23/2026 21:30:37,Caba,1200,Avión,3,2,1,Si,Si,,Sí,Sí,Sí,Gente paisaje,7,8,3,8,Tal vez,Mar del plata,40,Escorpión,buey,4,Poco,No,Varón Cis,0,Aguante la gente que compone esta comunidad
3/23/2026 21:52:19,"Vicente López, Buenos Aires",2000,Avión,3,18,4,Si,No,Si,Sí,Sí,Sí,comida,10,8,5,9,Tal vez,Córdoba,50,Tauro,mono,Afilado,Mucho,No,Varón Cis,2,Rocanrol!
3/23/2026 21:54:30,"Resistencia, chaco",2500,Y ómnibus ,3,14,3,Si,Si,Si,Sí,Sí,Sí,"El lago. Los juegos. Los amigos. Los muebles, la comida, la fogata.",10,10,6,9,Sí,Santa Fe,52,Tauro,buey,Alto,Mucho,No,Mujer Cis,2,Excelente como siempre
3/23/2026 22:00:35,"Rafaela, Santa Fe",1746,Avión,5,5,1,Si,Si,Si,Sí,No,Sí,Boardgames charlas ,10,9,7,10,Sí,Mendoza San Rafael,18,Leo,buey,Rescatable,Mucho,No,Varón Cis,0,
3/23/2026 22:01:16,Cuidad de buenos aires,1627,Avión,4,7,0,No,No,No,Sí,Sí,Sí,,9,9,6,7,Sí,Corrientes ,36,Piscis,rata,Bueno ,Mucho,No,Varón Cis,0,
3/23/2026 22:02:42,Ciudad autonoma de buenos aires,1630,Avión,3,3,0,No,Si,Si,Sí,Sí,Sí,"Charla IA, Pingpong, sur",7,7,5,9,Sí,Cordoba,27,Piscis,conejo,Intermedio,Poco,No,Varón Cis,0,
